index,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,type,volatile acidity,price,cost,sold
1,-1.2507639272976816,0.5128259018144394,2.3491040479463123,2.0353556928119243,3.3821187614260735,-1.1563951255721174,0.1959058497396402,-0.6816664819473869,0.2602835586566056,-1.2162476797614377,white,1.4597858806440518,44.24,13.7,9775
2,0.6776148299175749,1.3976906826408264,-0.6787411540877043,2.102051861334445,2.2250985967046164,-1.1000551922309698,1.3153979339640227,-0.4294492689679026,0.7306950975273646,-0.5262490884309792,white,3.616051689746658,37.67,5.84,4681
3,0.3422446112714432,2.3110994886551617,-2.1926637551047126,0.02113140343160325,0.296731655502188,-1.438094792277855,1.750755966717948,-0.7026845830290106,-0.8821444643152364,-1.8885539995193203,white,7.53377407529928,53.34,11.67,8386
4,0.42608716593297574,0.7982661536939194,-2.05503442773953,1.4084117087002015,0.8366743990388688,-1.3817548589367075,1.6263679573596832,-0.4294492689679026,-0.2773296286242612,-1.8531694563741687,white,4.132340686292352,51.18,14.02,8676
5,0.17455950194837652,1.169338481137243,-2.1926637551047126,0.6347361538388814,0.1424623002059943,-1.438094792277855,2.5592780275466676,-0.2507954097741012,0.058678613426281015,-1.8000926416564411,white,5.134548738410465,43.43,13.43,9924
6,0.5099297205945084,1.1122504307613468,1.1792547653422605,2.819035672951652,6.467505867349958,-1.1563951255721174,-1.8564963046717264,-0.261304460314913,1.4027115816284483,-1.6408621975032585,white,1.8545951132966418,35.24,1.84,1057
7,0.5099297205945084,1.1122504307613468,1.1792547653422605,2.819035672951652,6.390371189701861,-1.1563951255721174,-1.8564963046717264,-0.261304460314913,1.4027115816284483,-1.6408621975032585,white,1.8545951132966418,33.48,3.06,1099
8,0.5099297205945084,1.1122504307613468,1.1792547653422605,2.819035672951652,6.390371189701861,-1.1563951255721174,-1.8564963046717264,-0.261304460314913,1.4027115816284483,-1.6408621975032585,white,1.8545951132966418,35.13,0.36,1059
9,-0.5800234900054181,0.883898229257763,-0.5411118267225218,1.7018748501993215,1.5308864978717418,-1.0437152588898224,1.6263679573596832,-0.5975940776208921,0.058678613426281015,-0.4024031874229481,white,3.5249418668268295,29.56,1.24,1209
10,-0.7477085993284848,0.3986498010626479,1.1792547653422605,1.4684382603704627,2.5336373072970053,-0.9310353922075273,0.5068758731353007,-0.7026845830290106,0.1930819102464979,-1.2162476797614377,white,1.5205257625906041,28.2,6.83,5911
